距離,ラウンド数,天気,最高気温,最低気温,競走得点,S,B,脚,逃,捲,差,マ,1着,2着,3着,着外,勝率,2連対率,3連対率,ギヤ倍率,is_first,is_second,is_third,is_takeoff
1692,5,曇,26,16,87.69,0,0,お,0,0,7,2,3,6,5,11,0.12,0.36,0.56,0.0392,1,0,0,0
1692,5,曇,26,16,81.11,13,8,に,3,1,1,0,2,3,0,22,0.073,0.185,0.185,0.0392,0,0,1,0
1692,5,曇,26,16,82.9,1,1,り,0,2,0,1,2,1,1,7,0.18,0.272,0.363,0.0392,0,0,0,1
1692,5,曇,26,16,79.85,1,0,お,0,0,1,0,0,1,4,22,0,0.036,0.185,0.0392,0,0,0,1
1692,5,曇,26,16,81.86,2,11,に,6,0,0,0,2,4,2,14,0.09,0.272,0.363,0.0392,0,0,0,1
1692,5,曇,26,16,77.65,1,3,り,0,1,0,0,1,0,2,17,0.05,0.05,0.15,0.0392,0,0,0,1
1692,5,曇,26,16,81.88,1,0,お,0,0,0,2,0,2,6,18,0,0.076,0.307,0.0392,0,1,0,0
1692,5,曇,26,16,81.1,0,0,お,0,0,0,1,0,1,5,14,0,0.05,0.3,0.0392,0,0,0,1
1692,5,曇,26,16,87.11,2,5,に,2,0,2,1,3,2,4,9,0.166,0.277,0.5,0.0385,1,0,0,0
1692,5,曇,26,16,82.03,2,2,お,0,0,1,1,1,1,3,22,0.036,0.073,0.185,0.0386,0,0,1,0
1692,5,曇,26,16,82.8,1,0,お,0,0,3,0,0,3,2,10,0,0.2,0.333,0.0392,0,0,0,1
1692,5,曇,26,16,81.11,1,16,に,4,1,0,0,2,3,2,20,0.073,0.185,0.259,0.0385,0,0,0,1
1692,5,曇,26,16,79.31,0,0,お,0,0,0,0,0,0,4,28,0,0,0.125,0.0392,0,0,0,1
1692,5,曇,26,16,80.25,0,0,お,0,0,1,2,1,2,1,17,0.047,0.142,0.19,0.0392,0,1,0,0
1692,5,曇,26,16,82.53,6,17,り,11,2,0,1,7,7,6,19,0.179,0.358,0.512,0.0392,0,0,0,1
1692,5,曇,26,16,84.91,12,1,り,0,1,2,2,1,4,4,15,0.041,0.208,0.375,0.0392,0,0,0,1
1692,5,曇,26,16,86.7,6,0,り,0,0,1,2,1,2,0,7,0.1,0.3,0.3,0.0392,0,0,0,1
1692,5,曇,26,16,88.14,9,0,お,0,0,8,1,5,4,8,10,0.185,0.333,0.629,0.0393,1,0,0,0
1692,5,曇,26,16,88.26,2,22,に,13,1,0,0,7,7,2,14,0.233,0.466,0.533,0.0392,0,0,1,0
1692,5,曇,26,16,80.88,0,0,お,0,0,2,0,2,0,2,14,0.111,0.111,0.222,0.0392,0,0,0,1
1692,5,曇,26,16,86.28,3,0,お,0,2,6,1,5,4,3,17,0.172,0.31,0.413,0.0392,0,1,0,0
1625,4,雨,27.7,14.5,71.08,1,0,お,0,0,3,6,1,8,5,10,0.041,0.375,0.583,0.0392,0,0,1,0
1625,4,雨,27.7,14.5,67.85,0,0,り,0,0,2,1,2,1,3,8,0.142,0.214,0.428,0.0385,0,0,0,1
1625,4,雨,27.7,14.5,67.64,0,0,お,0,0,1,0,0,1,4,12,0,0.058,0.294,0.0393,0,1,0,0
1625,4,雨,27.7,14.5,67.1,5,0,お,0,0,0,1,0,1,4,25,0,0.033,0.166,0.0392,0,0,0,1
1625,4,雨,27.7,14.5,66.67,7,8,り,2,3,1,0,2,4,2,20,0.071,0.214,0.285,0.0392,1,0,0,0
1625,4,雨,27.7,14.5,70.78,5,11,に,6,6,2,0,12,2,2,12,0.428,0.5,0.571,0.0392,1,0,0,0
1625,4,雨,27.7,14.5,66.34,3,2,お,0,0,1,0,0,1,7,33,0,0.024,0.195,0.0392,0,0,0,1
1625,4,雨,27.7,14.5,66.42,10,0,に,4,0,1,1,1,5,1,22,0.034,0.205,0.241,0.0392,0,1,0,0
1625,4,雨,27.7,14.5,62.56,0,9,お,0,0,0,0,0,0,0,30,0,0,0,0.0386,0,0,0,1
1625,4,雨,27.7,14.5,69.72,3,0,お,0,0,2,4,1,5,4,19,0.034,0.205,0.344,0.0392,0,0,1,0
1625,4,雨,27.7,14.5,66.93,1,0,お,0,0,0,1,0,1,3,12,0,0.062,0.25,0.0392,0,0,0,1
1700,5,晴,26.7,16.9,70.67,1,8,り,4,1,5,0,6,4,3,18,0.193,0.322,0.419,0.0392,1,0,0,0
1700,5,晴,26.7,16.9,69.6,0,0,お,0,0,3,1,0,4,5,16,0,0.16,0.36,0.0386,0,1,0,0
1700,5,晴,26.7,16.9,69.59,4,0,お,0,0,4,4,3,5,4,16,0.107,0.284,0.428,0.0392,0,0,1,0
1700,5,晴,26.7,16.9,69.26,3,1,り,0,2,2,1,3,2,6,15,0.115,0.192,0.423,0.0393,0,0,0,1
1700,5,晴,26.7,16.9,68.14,0,0,お,0,0,2,2,1,3,4,15,0.043,0.172,0.347,0.0386,0,0,0,1
1700,5,晴,26.7,16.9,66.82,0,0,お,0,0,0,2,0,2,4,22,0,0.071,0.214,0.0392,0,0,0,1
2000,4,曇,24.9,16.6,109.46,8,8,に,4,4,2,1,5,6,7,12,0.166,0.366,0.6,0.0393,1,0,0,0
2000,4,曇,24.9,16.6,108.84,6,6,お,0,0,9,1,8,2,7,8,0.32,0.4,0.68,0.0392,0,0,1,0
2000,4,曇,24.9,16.6,105,1,1,お,0,0,2,0,2,0,4,7,0.152,0.152,0.461,0.0392,0,0,0,1
2000,4,曇,24.9,16.6,104.75,12,12,に,1,5,1,1,3,6,4,16,0.107,0.284,0.428,0.0393,0,0,0,1
2000,4,曇,24.9,16.6,106,4,4,り,0,1,6,4,4,7,5,14,0.133,0.366,0.533,0.0392,0,0,0,1
2000,4,曇,24.9,16.6,96.87,0,0,り,0,0,1,0,1,0,0,7,0.125,0.125,0.125,0.0392,0,0,0,1
2000,4,曇,24.9,16.6,107.41,3,3,お,0,0,7,6,3,10,3,20,0.083,0.361,0.444,0.0392,0,0,0,1
2000,4,曇,24.9,16.6,104.53,6,6,り,0,5,3,0,7,1,3,18,0.24,0.275,0.379,0.0392,0,0,0,1
2000,4,曇,24.9,16.6,104.96,2,2,に,14,1,0,0,6,9,4,10,0.205,0.517,0.655,0.0392,0,1,0,0
1625,4,晴,27.8,17.7,85.4,13,0,お,0,1,2,4,1,6,3,17,0.036,0.259,0.37,0.0392,0,1,0,0
